"Session Number";"Session Identifier";"ID Chip";"ID Chip UID";"ID Chip Name";"Start";"Ende";"Dauer gesamt";"Dauer aktiver Stromfluss";"max. Leistung [kW]";"max. Strom [A]";"Energie [kWh]";"Zaehlerstand Differenz [kWh]";"Zaehlerstand Anfang [kWh]";"Zaehlerstand Ende [kWh]";"WLAN-Verbindung"
2;"212234_1685716486";;"";"";"02.06.2023 16:34:46";"02.06.2023 16:36:00";"00:01:14";"00:00:51";6,23;10,3;0,071;0,071;0,004;0,075;"egal"
3;"212234_1685717646";;"";"";"02.06.2023 16:54:06";"02.06.2023 18:42:02";"01:47:56";"01:47:56";9,999;15,6;9,874;9,874;0,075;9,949;"egal"
4;"212234_1685799269";;"";"";"03.06.2023 15:34:29";"03.06.2023 15:35:36";"00:01:07";"00:01:07";6,222;10,3;0,09;0,09;10,279;10,369;"egal"
5;"212234_1685807946";;"";"";"03.06.2023 17:59:06";"03.06.2023 18:04:02";"00:04:56";"00:04:13";10,039;15,7;0,27;0,27;10,369;10,639;"egal"
6;"212234_1685809312";;"";"";"03.06.2023 18:21:52";"03.06.2023 19:34:54";"01:13:02";"01:12:46";6,982;12;9,521;9,521;11,104;20,625;"egal"
19;"212234_1689082718";;"";"";"11.07.2023 15:38:38";"11.07.2023 19:31:06";"03:52:28";"03:52:28";6,298;10,4;23,817;23,72;242,741;266,461;"egal"
20;"212234_1689434010";;"";"";"15.07.2023 17:13:30";"15.07.2023 21:12:46";"03:59:16";"03:59:07";6,27;10,4;24,663;24,543;266,461;291,004;"egal"
21;"212234_1689784622";;"";"";"19.07.2023 18:37:02";"19.07.2023 21:25:30";"02:48:28";"02:48:20";10,084;15,7;27,703;27,58;291,004;318,584;"egal"
22;"212234_1690211962";;"";"";"24.07.2023 17:19:22";"25.07.2023 07:30:06";"14:10:44";"03:56:24";6,285;10,4;24,366;24,251;318,584;342,835;"egal"
23;"212234_1690467046";;"";"";"27.07.2023 16:10:46";"28.07.2023 14:11:06";"22:00:20";"04:56:48";6,33;10,4;29,838;29,681;342,835;372,516;"egal"
24;"212234_1690891561";;"";"";"01.08.2023 14:06:01";"02.08.2023 06:46:38";"16:40:37";"05:08:21";6,288;10,4;31,792;31,636;372,516;404,152;"egal"
25;"212234_1691080934";;"";"";"03.08.2023 18:42:14";"04.08.2023 11:32:06";"16:49:52";"05:17:24";6,299;10,4;31,399;31,258;404,152;435,41;"egal"
26;"212234_1691511354";;"";"";"08.08.2023 18:15:54";"09.08.2023 06:44:46";"12:28:52";"03:06:28";6,306;10,4;19,303;19,209;435,41;454,619;"egal"
27;"212234_1691589234";;"";"";"09.08.2023 15:53:54";"10.08.2023 08:00:46";"16:06:52";"04:10:28";6,295;10,4;24,56;24,45;454,619;479,069;"egal"
28;"212234_1691852790";;"";"";"12.08.2023 17:06:30";"13.08.2023 13:08:06";"20:01:36";"02:02:33";6,257;10,3;12,611;12,544;479,069;491,613;"egal"
29;"212234_1692086286";;"";"";"15.08.2023 09:58:06";"15.08.2023 16:57:30";"06:59:24";"04:58:31";6,217;10,2;24,536;24,42;491,613;516,033;"egal"
30;"212234_1692427506";;"";"";"19.08.2023 08:45:06";"19.08.2023 13:44:38";"04:59:32";"04:58:44";6,324;10,3;21,14;21,05;516,033;537,083;"egal"
31;"212234_1693394730";;"";"";"30.08.2023 13:25:30";"31.08.2023 08:47:54";"19:22:24";"00:26:06";6,403;10,4;2,162;2,152;537,083;539,235;"egal"
