Datum;kWh;kW;Status
01.06.2023 00:00;0,043000;0.172000;VALID
01.06.2023 00:15;0,039000;0.156000;VALID
01.06.2023 00:30;0,028000;0.112000;VALID
01.06.2023 00:45;0,023000;0.092000;VALID
01.06.2023 01:00;0,023000;0.092000;VALID
01.06.2023 01:15;0,032000;0.128000;VALID
01.06.2023 01:30;0,034000;0.136000;VALID
01.06.2023 01:45;0,022000;0.088000;VALID
01.06.2023 02:00;0,014000;0.056000;VALID
01.06.2023 02:15;0,031000;0.124000;VALID
01.06.2023 02:30;0,043000;0.172000;VALID
01.06.2023 02:45;0,028000;0.112000;VALID
01.06.2023 03:00;0,028000;0.112000;VALID
01.06.2023 03:15;0,032000;0.128000;VALID
01.06.2023 03:30;0,041000;0.164000;VALID
01.06.2023 03:45;0,025000;0.100000;VALID
01.06.2023 04:00;0,014000;0.056000;VALID
01.06.2023 04:15;0,013000;0.052000;VALID
01.06.2023 04:30;0,013000;0.052000;VALID
01.06.2023 04:45;0,029000;0.116000;VALID
01.06.2023 05:00;0,043000;0.172000;VALID
01.06.2023 05:15;0,045000;0.180000;VALID
01.06.2023 05:30;0,039000;0.156000;VALID
01.06.2023 05:45;0,197000;0.788000;VALID
01.06.2023 06:00;0,027000;0.108000;VALID
01.06.2023 06:15;0,072000;0.288000;VALID
01.06.2023 06:30;0,076000;0.304000;VALID
01.06.2023 06:45;0,071000;0.284000;VALID
01.06.2023 07:00;0,028000;0.112000;VALID
01.06.2023 07:15;0,026000;0.104000;VALID
01.06.2023 07:30;0,031000;0.124000;VALID
01.06.2023 07:45;0,037000;0.148000;VALID
01.06.2023 08:00;0,035000;0.140000;VALID
01.06.2023 08:15;0,039000;0.156000;VALID
01.06.2023 08:30;0,021000;0.084000;VALID
01.06.2023 08:45;0,007000;0.028000;VALID
01.06.2023 09:00;0,000000;0.000000;VALID
01.06.2023 09:15;0,000000;0.000000;VALID
01.06.2023 09:30;0,000000;0.000000;VALID
